measure,label,model,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
Recall,2,roberta,ag,pet,qa,10,2,0.865263157894737,,,2,0.882631578947368
Recall,2,roberta,ag,pet,qa,10,2,0.873684210526316,,,3,0.882631578947368
Recall,2,roberta,ag,pet,qa,10,2,0.876315789473684,,,4,0.882631578947368
Recall,2,roberta,ag,pet,qa,10,2,0.882631578947368,,,5,0.882631578947368
Recall,3,roberta,ag,pet,qa,10,2,0.573684210526316,,,1,0.557368421052632
Recall,3,roberta,ag,pet,qa,10,2,0.561052631578947,,,2,0.557368421052632
Recall,3,roberta,ag,pet,qa,10,2,0.526315789473684,,,3,0.557368421052632
Recall,3,roberta,ag,pet,qa,10,2,0.599473684210526,,,4,0.557368421052632
Recall,3,roberta,ag,pet,qa,10,2,0.521578947368421,,,5,0.557368421052632
Accuracy,Overall,roberta,ag,pet,qa,10,3,0.839868421052632,,,1,0.844473684210526
Accuracy,Overall,roberta,ag,pet,qa,10,3,0.798947368421053,,,2,0.844473684210526
Accuracy,Overall,roberta,ag,pet,qa,10,3,0.828157894736842,,,3,0.844473684210526
Accuracy,Overall,roberta,ag,pet,qa,10,3,0.8475,,,4,0.844473684210526
Accuracy,Overall,roberta,ag,pet,qa,10,3,0.846710526315789,,,5,0.844473684210526
F1,0,roberta,ag,pet,qa,10,3,0.831600831600832,,,1,0.836962025316456
F1,0,roberta,ag,pet,qa,10,3,0.795013186286262,,,2,0.836962025316456
F1,0,roberta,ag,pet,qa,10,3,0.814720163557373,,,3,0.836962025316456
F1,0,roberta,ag,pet,qa,10,3,0.83578431372549,,,4,0.836962025316456
F1,0,roberta,ag,pet,qa,10,3,0.837858411570667,,,5,0.836962025316456
F1,1,roberta,ag,pet,qa,10,3,0.956319462393383,,,1,0.957864433394399
F1,1,roberta,ag,pet,qa,10,3,0.877051540454938,,,2,0.957864433394399
F1,1,roberta,ag,pet,qa,10,3,0.94708854028184,,,3,0.957864433394399
F1,1,roberta,ag,pet,qa,10,3,0.957983193277311,,,4,0.957864433394399
F1,1,roberta,ag,pet,qa,10,3,0.959400051719679,,,5,0.957864433394399
F1,2,roberta,ag,pet,qa,10,3,0.764428739693757,,,1,0.766272189349112
F1,2,roberta,ag,pet,qa,10,3,0.733170134638923,,,2,0.766272189349112
F1,2,roberta,ag,pet,qa,10,3,0.753882915173238,,,3,0.766272189349112
F1,2,roberta,ag,pet,qa,10,3,0.782381918284555,,,4,0.766272189349112
F1,2,roberta,ag,pet,qa,10,3,0.768733470467235,,,5,0.766272189349112
F1,3,roberta,ag,pet,qa,10,3,0.800097871299242,,,1,0.810076562114102
F1,3,roberta,ag,pet,qa,10,3,0.78964552238806,,,2,0.810076562114102
F1,3,roberta,ag,pet,qa,10,3,0.793202489229296,,,3,0.810076562114102
F1,3,roberta,ag,pet,qa,10,3,0.809116809116809,,,4,0.810076562114102
F1,3,roberta,ag,pet,qa,10,3,0.812735021308599,,,5,0.810076562114102
F1,Overall,roberta,ag,pet,qa,10,3,0.838111726246804,,,1,0.842793802543518
F1,Overall,roberta,ag,pet,qa,10,3,0.798720095942046,,,2,0.842793802543518
F1,Overall,roberta,ag,pet,qa,10,3,0.827223527060437,,,3,0.842793802543518
F1,Overall,roberta,ag,pet,qa,10,3,0.846316558601041,,,4,0.842793802543518
F1,Overall,roberta,ag,pet,qa,10,3,0.844681738766545,,,5,0.842793802543518
Precision,0,roberta,ag,pet,qa,10,3,0.82135523613963,,,1,0.806341463414634
Precision,0,roberta,ag,pet,qa,10,3,0.730074856891237,,,2,0.806341463414634
Precision,0,roberta,ag,pet,qa,10,3,0.791852955787382,,,3,0.806341463414634
Precision,0,roberta,ag,pet,qa,10,3,0.782110091743119,,,4,0.806341463414634
Precision,0,roberta,ag,pet,qa,10,3,0.808917197452229,,,5,0.806341463414634
Precision,1,roberta,ag,pet,qa,10,3,0.939563230066023,,,1,0.952628839146278
Precision,1,roberta,ag,pet,qa,10,3,0.968213604577241,,,2,0.952628839146278
Precision,1,roberta,ag,pet,qa,10,3,0.957012358946803,,,3,0.952628839146278
Precision,1,roberta,ag,pet,qa,10,3,0.955974842767296,,,4,0.952628839146278
Precision,1,roberta,ag,pet,qa,10,3,0.943060498220641,,,5,0.952628839146278
Precision,2,roberta,ag,pet,qa,10,3,0.867647058823529,,,1,0.875
Precision,2,roberta,ag,pet,qa,10,3,0.875730994152047,,,2,0.875
Precision,2,roberta,ag,pet,qa,10,3,0.871546961325967,,,3,0.875
Precision,2,roberta,ag,pet,qa,10,3,0.870406189555126,,,4,0.875
Precision,2,roberta,ag,pet,qa,10,3,0.870259481037924,,,5,0.875
Precision,3,roberta,ag,pet,qa,10,3,0.747599451303155,,,1,0.763145649139135
Precision,3,roberta,ag,pet,qa,10,3,0.708961474036851,,,2,0.763145649139135
Precision,3,roberta,ag,pet,qa,10,3,0.72739244951712,,,3,0.763145649139135
Precision,3,roberta,ag,pet,qa,10,3,0.796532381438042,,,4,0.763145649139135
Precision,3,roberta,ag,pet,qa,10,3,0.775969363331738,,,5,0.763145649139135
Recall,0,roberta,ag,pet,qa,10,3,0.842105263157895,,,1,0.87
Recall,0,roberta,ag,pet,qa,10,3,0.872631578947368,,,2,0.87
Recall,0,roberta,ag,pet,qa,10,3,0.838947368421053,,,3,0.87
Recall,0,roberta,ag,pet,qa,10,3,0.897368421052632,,,4,0.87
Recall,0,roberta,ag,pet,qa,10,3,0.868947368421053,,,5,0.87
Recall,1,roberta,ag,pet,qa,10,3,0.973684210526316,,,1,0.963157894736842
Recall,1,roberta,ag,pet,qa,10,3,0.801578947368421,,,2,0.963157894736842
Recall,1,roberta,ag,pet,qa,10,3,0.937368421052632,,,3,0.963157894736842
Recall,1,roberta,ag,pet,qa,10,3,0.96,,,4,0.963157894736842
Recall,1,roberta,ag,pet,qa,10,3,0.976315789473684,,,5,0.963157894736842
Recall,2,roberta,ag,pet,qa,10,3,0.683157894736842,,,1,0.681578947368421
Recall,2,roberta,ag,pet,qa,10,3,0.630526315789474,,,2,0.681578947368421
Recall,2,roberta,ag,pet,qa,10,3,0.66421052631579,,,3,0.681578947368421
Recall,2,roberta,ag,pet,qa,10,3,0.710526315789474,,,4,0.681578947368421
Recall,2,roberta,ag,pet,qa,10,3,0.688421052631579,,,5,0.681578947368421
Recall,3,roberta,ag,pet,qa,10,3,0.860526315789474,,,1,0.863157894736842
Recall,3,roberta,ag,pet,qa,10,3,0.891052631578947,,,2,0.863157894736842
Recall,3,roberta,ag,pet,qa,10,3,0.872105263157895,,,3,0.863157894736842
Recall,3,roberta,ag,pet,qa,10,3,0.822105263157895,,,4,0.863157894736842
Recall,3,roberta,ag,pet,qa,10,3,0.853157894736842,,,5,0.863157894736842
Accuracy,Overall,roberta,ag,pet,qa,10,4,0.808947368421053,,,1,0.816578947368421
Accuracy,Overall,roberta,ag,pet,qa,10,4,0.812894736842105,,,2,0.816578947368421
Accuracy,Overall,roberta,ag,pet,qa,10,4,0.792236842105263,,,3,0.816578947368421
Accuracy,Overall,roberta,ag,pet,qa,10,4,0.813552631578947,,,4,0.816578947368421
Accuracy,Overall,roberta,ag,pet,qa,10,4,0.785657894736842,,,5,0.816578947368421
F1,0,roberta,ag,pet,qa,10,4,0.806961178045515,,,1,0.815040088471109
F1,0,roberta,ag,pet,qa,10,4,0.808147536471236,,,2,0.815040088471109
F1,0,roberta,ag,pet,qa,10,4,0.747947704469444,,,3,0.815040088471109
F1,0,roberta,ag,pet,qa,10,4,0.822027134876297,,,4,0.815040088471109
F1,0,roberta,ag,pet,qa,10,4,0.805353505964504,,,5,0.815040088471109
F1,1,roberta,ag,pet,qa,10,4,0.957507082152975,,,1,0.95808691180252
F1,1,roberta,ag,pet,qa,10,4,0.951766830023214,,,2,0.95808691180252
F1,1,roberta,ag,pet,qa,10,4,0.958890030832477,,,3,0.95808691180252
F1,1,roberta,ag,pet,qa,10,4,0.954792043399638,,,4,0.95808691180252
F1,1,roberta,ag,pet,qa,10,4,0.958558558558559,,,5,0.95808691180252
F1,2,roberta,ag,pet,qa,10,4,0.760542168674699,,,1,0.774439675727229
F1,2,roberta,ag,pet,qa,10,4,0.775882776843622,,,2,0.774439675727229
F1,2,roberta,ag,pet,qa,10,4,0.758119464001817,,,3,0.774439675727229
F1,2,roberta,ag,pet,qa,10,4,0.760375494071146,,,4,0.774439675727229
F1,2,roberta,ag,pet,qa,10,4,0.737378022910479,,,5,0.774439675727229
F1,3,roberta,ag,pet,qa,10,4,0.704280155642023,,,1,0.711428571428572
F1,3,roberta,ag,pet,qa,10,4,0.708817692089594,,,2,0.711428571428572
F1,3,roberta,ag,pet,qa,10,4,0.694690265486726,,,3,0.711428571428572
F1,3,roberta,ag,pet,qa,10,4,0.710391822827939,,,4,0.711428571428572
F1,3,roberta,ag,pet,qa,10,4,0.623893805309734,,,5,0.711428571428572
F1,Overall,roberta,ag,pet,qa,10,4,0.807322646128803,,,1,0.814748811857357
F1,Overall,roberta,ag,pet,qa,10,4,0.811153708856917,,,2,0.814748811857357
F1,Overall,roberta,ag,pet,qa,10,4,0.789911866197616,,,3,0.814748811857357
F1,Overall,roberta,ag,pet,qa,10,4,0.811896623793755,,,4,0.814748811857357
F1,Overall,roberta,ag,pet,qa,10,4,0.781295973185819,,,5,0.814748811857357
Precision,0,roberta,ag,pet,qa,10,4,0.82125340599455,,,1,0.858474082702388
Precision,0,roberta,ag,pet,qa,10,4,0.847085978072706,,,2,0.858474082702388
Precision,0,roberta,ag,pet,qa,10,4,0.885529157667387,,,3,0.858474082702388
Precision,0,roberta,ag,pet,qa,10,4,0.831091984938139,,,4,0.858474082702388
Precision,0,roberta,ag,pet,qa,10,4,0.900455432661028,,,5,0.858474082702388
Precision,1,roberta,ag,pet,qa,10,4,0.937468482097832,,,1,0.936651583710407
Precision,1,roberta,ag,pet,qa,10,4,0.933232169954476,,,2,0.936651583710407
Precision,1,roberta,ag,pet,qa,10,4,0.936746987951807,,,3,0.936651583710407
Precision,1,roberta,ag,pet,qa,10,4,0.937595129375951,,,4,0.936651583710407
Precision,1,roberta,ag,pet,qa,10,4,0.938035264483627,,,5,0.936651583710407
Precision,2,roberta,ag,pet,qa,10,4,0.726967370441459,,,1,0.707933740191805
Precision,2,roberta,ag,pet,qa,10,4,0.713654441007512,,,2,0.707933740191805
Precision,2,roberta,ag,pet,qa,10,4,0.66679984019177,,,3,0.707933740191805
Precision,2,roberta,ag,pet,qa,10,4,0.716480446927374,,,4,0.707933740191805
Precision,2,roberta,ag,pet,qa,10,4,0.617626154939588,,,5,0.707933740191805
