measure,label,model,dataset,arch,sampling,nshot,sample,value,time_train,time_test,pattern,verbalizer,run,majority,pvp
Precision,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.675,27.7791352272034,47.2527830600739,prompt,alpha,5,0.625,prompt
Recall,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.71900826446281,27.8126623630524,47.3245122432709,prompt,alpha,1,0.793388429752066,prompt
Recall,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.380165289256198,27.8004052639008,47.2516431808472,prompt,alpha,2,0.793388429752066,prompt
Recall,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.71900826446281,27.8401567935944,47.1159570217133,prompt,alpha,3,0.793388429752066,prompt
Recall,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.785123966942149,27.819587469101,47.2205469608307,prompt,alpha,4,0.793388429752066,prompt
Recall,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.867768595041322,27.7791352272034,47.2527830600739,prompt,alpha,5,0.793388429752066,prompt
Recall,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.252747252747253,27.8126623630524,47.3245122432709,prompt,alpha,1,0.269230769230769,prompt
Recall,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.543956043956044,27.8004052639008,47.2516431808472,prompt,alpha,2,0.269230769230769,prompt
Recall,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.587912087912088,27.8401567935944,47.1159570217133,prompt,alpha,3,0.269230769230769,prompt
Recall,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.230769230769231,27.819587469101,47.2205469608307,prompt,alpha,4,0.269230769230769,prompt
Recall,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.0934065934065934,27.7791352272034,47.2527830600739,prompt,alpha,5,0.269230769230769,prompt
Recall,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.267782426778243,27.8126623630524,47.3245122432709,prompt,alpha,1,0.142259414225941,prompt
Recall,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.133891213389121,27.8004052639008,47.2516431808472,prompt,alpha,2,0.142259414225941,prompt
Recall,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.00418410041841004,27.8401567935944,47.1159570217133,prompt,alpha,3,0.142259414225941,prompt
Recall,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.129707112970711,27.819587469101,47.2205469608307,prompt,alpha,4,0.142259414225941,prompt
Recall,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.171548117154812,27.7791352272034,47.2527830600739,prompt,alpha,5,0.142259414225941,prompt
Recall,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.0414847161572052,27.8126623630524,47.3245122432709,prompt,alpha,1,0.0764192139737991,prompt
Recall,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.235807860262009,27.8004052639008,47.2516431808472,prompt,alpha,2,0.0764192139737991,prompt
Recall,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.0786026200873363,27.8401567935944,47.1159570217133,prompt,alpha,3,0.0764192139737991,prompt
Recall,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.126637554585153,27.819587469101,47.2205469608307,prompt,alpha,4,0.0764192139737991,prompt
Recall,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.0589519650655022,27.7791352272034,47.2527830600739,prompt,alpha,5,0.0764192139737991,prompt
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.288,27.8153672218323,47.2683620452881,prompt,alpha,1,0.294,prompt
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.32,27.816885471344,47.3293993473053,prompt,alpha,2,0.294,prompt
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.28,27.9116640090942,47.3363306522369,prompt,alpha,3,0.294,prompt
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.313,27.8841967582703,47.1763575077057,prompt,alpha,4,0.294,prompt
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.291,27.9002377986908,47.2780904769898,prompt,alpha,5,0.294,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.203066114444283,27.8153672218323,47.2683620452881,prompt,alpha,1,0.219004847029581,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.262806626982295,27.816885471344,47.3293993473053,prompt,alpha,2,0.219004847029581,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.203398664253168,27.9116640090942,47.3363306522369,prompt,alpha,3,0.219004847029581,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.248988388109797,27.8841967582703,47.1763575077057,prompt,alpha,4,0.219004847029581,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,3,0.219501735438137,27.9002377986908,47.2780904769898,prompt,alpha,5,0.219004847029581,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0,27.8153672218323,47.2683620452881,prompt,alpha,1,0,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0.0963855421686747,27.816885471344,47.3293993473053,prompt,alpha,2,0,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0,27.9116640090942,47.3363306522369,prompt,alpha,3,0,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0.0303030303030303,27.8841967582703,47.1763575077057,prompt,alpha,4,0,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0,27.9002377986908,47.2780904769898,prompt,alpha,5,0,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,3,0.339393939393939,27.8153672218323,47.2683620452881,prompt,alpha,1,0.351747463359639,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,3,0.365432098765432,27.816885471344,47.3293993473053,prompt,alpha,2,0.351747463359639,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,3,0.348729792147806,27.9116640090942,47.3363306522369,prompt,alpha,3,0.351747463359639,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,3,0.356902356902357,27.8841967582703,47.1763575077057,prompt,alpha,4,0.351747463359639,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,3,0.350580781414995,27.9002377986908,47.2780904769898,prompt,alpha,5,0.351747463359639,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,3,0.455629139072848,27.8153672218323,47.2683620452881,prompt,alpha,1,0.519924098671727,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,3,0.567857142857143,27.816885471344,47.3293993473053,prompt,alpha,2,0.519924098671727,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,3,0.464864864864865,27.9116640090942,47.3363306522369,prompt,alpha,3,0.519924098671727,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,3,0.549800796812749,27.8841967582703,47.1763575077057,prompt,alpha,4,0.519924098671727,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,3,0.527426160337553,27.9002377986908,47.2780904769898,prompt,alpha,5,0.519924098671727,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,3,0.0172413793103448,27.8153672218323,47.2683620452881,prompt,alpha,1,0.00434782608695652,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,3,0.021551724137931,27.816885471344,47.3293993473053,prompt,alpha,2,0.00434782608695652,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,3,0,27.9116640090942,47.3363306522369,prompt,alpha,3,0.00434782608695652,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,3,0.0589473684210526,27.8841967582703,47.1763575077057,prompt,alpha,4,0.00434782608695652,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,3,0,27.9002377986908,47.2780904769898,prompt,alpha,5,0.00434782608695652,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0,27.8153672218323,47.2683620452881,prompt,alpha,1,0,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0.177777777777778,27.816885471344,47.3293993473053,prompt,alpha,2,0,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0,27.9116640090942,47.3363306522369,prompt,alpha,3,0,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0.181818181818182,27.8841967582703,47.1763575077057,prompt,alpha,4,0,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,3,0,27.9002377986908,47.2780904769898,prompt,alpha,5,0,prompt
Precision,argumentfor,xlmroberta-large,ukraine,lora,equal,10,3,0.234309623430962,27.8153672218323,47.2683620452881,prompt,alpha,1,0.221276595744681,prompt
Precision,argumentfor,xlmroberta-large,ukraine,lora,equal,10,3,0.235668789808917,27.816885471344,47.3293993473053,prompt,alpha,2,0.221276595744681,prompt
