measure,label,model,dataset,arch,pvp,sampling,nshot,sample,value,time_train,time_test,run,majority
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.357251908396947,,,2,0.286713286713287
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.288256227758007,,,3,0.286713286713287
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.280966767371601,,,4,0.286713286713287
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.360606060606061,,,5,0.286713286713287
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.203125,,,1,0.256140350877193
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.216417910447761,,,2,0.256140350877193
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.256172839506173,,,3,0.256140350877193
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.285714285714286,,,4,0.256140350877193
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.175572519083969,,,5,0.256140350877193
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.274590163934426,,,1,0.259174311926606
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.210526315789474,,,2,0.259174311926606
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.259174311926606,,,3,0.259174311926606
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.220858895705521,,,4,0.259174311926606
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.274590163934426,,,5,0.259174311926606
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.455284552845528,,,1,0.557575757575758
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.435344827586207,,,2,0.557575757575758
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.676470588235294,,,3,0.557575757575758
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.431192660550459,,,4,0.557575757575758
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.515527950310559,,,5,0.557575757575758
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.747368421052632,,,1,0.719298245614035
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.593908629441624,,,2,0.719298245614035
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.778846153846154,,,3,0.719298245614035
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.455882352941176,,,4,0.719298245614035
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.589108910891089,,,5,0.719298245614035
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.537190082644628,,,1,0.603305785123967
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.239669421487603,,,2,0.603305785123967
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.685950413223141,,,3,0.603305785123967
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.0826446280991736,,,4,0.603305785123967
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.570247933884298,,,5,0.603305785123967
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.368131868131868,,,1,0.620879120879121
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.505494505494506,,,2,0.620879120879121
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.620879120879121,,,3,0.620879120879121
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.791208791208791,,,4,0.620879120879121
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.368131868131868,,,5,0.620879120879121
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.468619246861925,,,1,0.384937238493724
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.422594142259414,,,2,0.384937238493724
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.384937238493724,,,3,0.384937238493724
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.196652719665272,,,4,0.384937238493724
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.347280334728034,,,5,0.384937238493724
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.310043668122271,,,1,0.179039301310044
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.255458515283843,,,2,0.179039301310044
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.176855895196507,,,3,0.179039301310044
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.203056768558952,,,4,0.179039301310044
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.259825327510917,,,5,0.179039301310044
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.51,,,1,0.383
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.347,,,2,0.383
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.462,,,3,0.383
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.379,,,4,0.383
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.245,,,5,0.383
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.430084388604363,,,1,0.371417029745124
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.342166966122079,,,2,0.371417029745124
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.434114663697492,,,3,0.371417029745124
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.367219602537011,,,4,0.371417029745124
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.228067788574277,,,5,0.371417029745124
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.259927797833935,,,1,0.35
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.312178387650086,,,2,0.35
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.34032634032634,,,3,0.35
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.409411764705882,,,4,0.35
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.310850439882698,,,5,0.35
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.276363636363636,,,1,0.317016317016317
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.325056433408578,,,2,0.317016317016317
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.316715542521994,,,3,0.317016317016317
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.320143884892086,,,4,0.317016317016317
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.272,,,5,0.317016317016317
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.540447504302926,,,1,0.349112426035503
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.326409495548961,,,2,0.349112426035503
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.521158129175947,,,3,0.349112426035503
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.295819935691318,,,4,0.349112426035503
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.137184115523466,,,5,0.349112426035503
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.643598615916955,,,1,0.469539375928678
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.405023547880691,,,2,0.469539375928678
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.558258642765685,,,3,0.469539375928678
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.443502824858757,,,4,0.469539375928678
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.192236598890943,,,5,0.469539375928678
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.230769230769231,,,1,0.223234624145786
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.196969696969697,,,2,0.223234624145786
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,4,0.237012987012987,,,3,0.223234624145786
